HISTOGRAM GEMPABMI
Tanggal,Jumlah
15-Nov-22,3
16-Nov-22,1
17-Nov-22,4
18-Nov-22,0
19-Nov-22,2
20-Nov-22,2
21-Nov-22,1
22-Nov-22,2
23-Nov-22,3
24-Nov-22,0
25-Nov-22,3
26-Nov-22,3
27-Nov-22,0
28-Nov-22,4
29-Nov-22,1
30-Nov-22,4
01-Dec-22,3
02-Dec-22,5
03-Dec-22,4
04-Dec-22,0
05-Dec-22,3
06-Dec-22,4
07-Dec-22,4
08-Dec-22,4
09-Dec-22,6
10-Dec-22,2
11-Dec-22,3
12-Dec-22,2
13-Dec-22,1
14-Dec-22,1
15-Dec-22,0
TOTAL,75,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,8, 10.7%,
3 < M < 5,66, 88.0%,
M > 5,1, 1.3%,

BERDASARKAN KEDALAMAN
< 60 Km,75, 100.0%,
60 - 300 Km,0, 0.0%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,38
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,5
HALMAHERA BAG. BARAT,5
HALMAHERA BAG. SELATAN,13
KEP. SULA & TALIABU,0
SULAWESI,1

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
BMKG-TNT20221115T053310,2022-11-15,5:33:10,2.99,128.29,27.0,4.6,105 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221115T104119,2022-11-15,10:41:19,0.01,124.65,13.0,3.3,79 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221115T105033,2022-11-15,10:50:33,1.28,126.14,10.0,3.3,108 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221116T232839,2022-11-16,23:28:39,-0.04,124.81,9.0,3.0,92 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221117T080021,2022-11-17,8:00:21,1.7,126.29,9.0,4.3,126 km TimurLaut BITUNG-SULUT,-
BMKG-TNT20221117T163059,2022-11-17,16:30:59,1.6,126.48,10.0,2.9,125 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221117T201512,2022-11-17,20:15:12,1.87,127.27,10.0,3.0,82 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221117T231003,2022-11-17,23:10:03,-0.95,127.49,10.0,3.1,34 km Selatan LABUHA-MALUT,-
BMKG-TNT20221119T003823,2022-11-19,0:38:23,-0.1,129.42,10.0,3.7,153 km Tenggara MABA-MALUT,-
BMKG-TNT20221119T114257,2022-11-19,11:42:57,1.95,127.27,10.0,3.0,84 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221120T183243,2022-11-20,18:32:43,0.98,126.85,9.0,3.8,62 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221120T192146,2022-11-20,19:21:46,1.1088,126.18,10.0,3.3,117 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221121T000948,2022-11-21,0:09:48,-0.92,127.61,9.0,2.4,33 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221122T033906,2022-11-22,3:39:06,0.5,125.16,17.0,3.0,68 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221122T133542,2022-11-22,13:35:42,0.03,126.67,24.0,3.1,112 km BaratDaya TIDORE-MALUT,-
BMKG-TNT20221123T021710,2022-11-23,2:17:10,2.27,129.02,10.0,4.2,85 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221123T095504,2022-11-23,9:55:04,2.06,128.69,11.0,4.2,44 km Timur DARUBA-MALUT,-
BMKG-TNT20221123T183654,2022-11-23,18:36:54,2.16,129.34,15.0,4.1,117 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221125T151149,2022-11-25,15:11:49,1.83,127.3,21.0,3.2,78 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221125T151343,2022-11-25,15:13:43,1.63,126.61,11.0,3.9,114 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221125T202845,2022-11-25,16:42:05,-2.53,127.14,10.0,2.8,143 km Tenggara SANANA-MALUT,-
BMKG-TNT20221126T022528,2022-11-26,2:25:28,2.11,126.66,10.0,3.9,147 km BaratLaut JAILOLO-MALUT,
BMKG-TNT20221126T111445,2022-11-26,11:14:45,-0.91,127.32,3.0,3.8,35 km BaratDaya LABUHA-MALUT,
BMKG-TNT20221126T170737,2022-11-26,17:07:37,1.78,126.16,26.0,2.9,115 km TimurLaut BITUNG-SULUT,-
BMKG-TNT20221128T144552,2022-11-28,14:45:52,3.07,126.89,10.0,3.3,107 km Tenggara MELONGUANE-SULUT,-
BMKG-TNT20221128T152035,2022-11-28,15:20:35,0.95,126.13,10.0,3.5,119 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221128T210416,2022-11-28,21:04:16,0.66,125.02,18.0,3.5,47 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221128T211338,2022-11-28,21:13:38,-0.68,127.84,4.0,3.9,38 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221129T115635,2022-11-29,11:56:35,-2.39,128.61,10.0,2.6,230 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221130T043911,2022-11-30,4:39:11,2.15,129.12,1.0,4.3,93 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221130T053614,2022-11-30,5:36:14,-0.48,127.74,2.0,3.7,33 km TimurLaut LABUHA-MALUT,-
BMKG-TNT20221130T060926,2022-11-30,6:09:26,2.4,128.53,13.0,3.7,47 km TimurLaut DARUBA-MALUT,-
