HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-Jun-23,4
02-Jun-23,4
03-Jun-23,2
04-Jun-23,7
05-Jun-23,6
06-Jun-23,4
07-Jun-23,9
08-Jun-23,6
09-Jun-23,10
10-Jun-23,5
11-Jun-23,3
12-Jun-23,4
13-Jun-23,4
14-Jun-23,6
15-Jun-23,2
16-Jun-23,4
17-Jun-23,6
18-Jun-23,2
19-Jun-23,8
20-Jun-23,4
21-Jun-23,1
22-Jun-23,5
23-Jun-23,6
24-Jun-23,3
25-Jun-23,3
26-Jun-23,2
27-Jun-23,1
28-Jun-23,5
29-Jun-23,5
30-Jun-23,2
TOTAL,133,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,17, 12.8%,
3 < M < 5,115, 86.5%,
M > 5,1, 0.8%,

BERDASARKAN KEDALAMAN
< 60 Km,93, 69.9%,
60 - 300 Km,40, 30.1%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,73
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,6
HALMAHERA BAG. BARAT,8
HALMAHERA BAG. SELATAN,16
KEP. SULA & TALIABU,1
SULAWESI,6

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
MNI-bmkg2023kqor,2023-06-01,8:56:47,0.78,125.93,10.0,3.3,111 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023kqql,2023-06-01,9:50:11,3.7,127.87,123.0,4.3,136 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023krcr,2023-06-01,16:00:59,1.89,128.34,83.0,3.6,18 km Tenggara DARUBA-MALUT,-
MNI-bmkg2023krfb,2023-06-01,17:13:22,1.09,125.69,26.0,3.0,69 km Tenggara BITUNG-SULUT,-
AAI-bmkg2023ksgr,2023-06-02,7:10:08,-1.12,126.9,10.0,3.8,85 km BaratDaya LABUHA-MALUT,-
TNT-bmkg2023ksgv,2023-06-02,7:15:54,3.74,126.7,33.0,3.5,30 km Selatan MELONGUANE-SULUT,-
MNI-bmkg2023ktei,2023-06-02,19:07:38,3.82,126.81,35.0,3.9,25 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023ktjj,2023-06-02,21:40:16,4.83,125.31,110.0,4.7,137 km BaratLaut TAHUNA-SULUT,-
TNT-bmkg2023kvdm,2023-06-03,20:58:22,1.48,127.07,35.0,3.2,64 km BaratLaut JAILOLO-MALUT,-
TNT-bmkg2023kvea,2023-06-03,21:15:14,1.18,126.84,40.0,2.8,71 km BaratLaut JAILOLO-MALUT,-
