HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-May-23,4
02-May-23,4
03-May-23,4
04-May-23,3
05-May-23,4
06-May-23,5
07-May-23,14
08-May-23,10
09-May-23,4
10-May-23,1
11-May-23,0
12-May-23,2
13-May-23,5
14-May-23,4
15-May-23,4
16-May-23,1
17-May-23,3
18-May-23,2
19-May-23,4
20-May-23,0
21-May-23,2
22-May-23,6
23-May-23,6
24-May-23,5
25-May-23,2
26-May-23,0
27-May-23,2
28-May-23,0
29-May-23,2
30-May-23,4
31-May-23,5
TOTAL,112,
TOTAL DIRASAKAN,3,

BERDASARKAN MAGNITUDO
M < 3,10, 8.9%,
3 < M < 5,100, 89.3%,
M > 5,2, 1.8%,

BERDASARKAN KEDALAMAN
< 60 Km,82, 73.2%,
60 - 300 Km,29, 25.9%,
> 300 Km,1, 0.9%,

BERDASARKAN WILAYAH
LAUT MALUKU,64
HALMAHERA BAG. UTARA,9
HALMAHERA BAG. TIMUR,2
HALMAHERA BAG. BARAT,17
HALMAHERA BAG. SELATAN,6
KEP. SULA & TALIABU,1
SULAWESI,7

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
MNI-bmkg2023ilsa,2023-05-01,5:53:16,2.81,127.2,20.0,3.3,145 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023imwy,2023-05-01,21:33:58,1.54,127.19,122.0,3.5,62 km BaratLaut JAILOLO-MALUT,-
TNT-bmkg2023imyf,2023-05-01,22:08:38,2.08,126.78,29.0,3.3,137 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023imyt,2023-05-01,22:25:56,0.27,125.31,16.0,3.2,95 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023incd,2023-05-02,0:07:17,1.06,126.61,3.0,3.5,90 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023inco,2023-05-02,0:21:10,2.82,128.36,10.0,3.6,86 km Utara DARUBA-MALUT,-
MNI-bmkg2023inye,2023-05-02,11:15:35,3.1,128.14,19.0,4.0,118 km BaratLaut DARUBA-MALUT,-
MNI-bmkg2023iogh,2023-05-02,15:22:29,-0.16,124.75,20.0,3.4,99 km Tenggara MOLIBAGU-SULUT,-
PGN-bmg2023ipad,2023-05-03,1:23:06,3.38,126.07,32.0,5.6,68 km Tenggara TAHUNA-SULUT,-
MNI-bmkg2023ipoj,2023-05-03,8:35:30,1.69,125.85,15.0,3.8,79 km TimurLaut BITUNG-SULUT,-
MNI-bmkg2023iqhg,2023-05-03,18:07:19,0.6,125.71,10.0,3.8,111 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023iqmq,2023-05-03,20:50:48,1.96,127.37,114.0,2.9,74 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023iqzt,2023-05-04,3:28:21,-0.12,127.39,2.0,3.7,60 km BaratLaut LABUHA-MALUT,-
GTO-bmkg2023irow,2023-05-04,11:06:53,0.24,127.29,142.0,4.2,51 km BaratDaya TIDORE-MALUT,-
MNI-bmkg2023irow,2023-05-04,11:06:53,0.23,127.2,130.0,3.1,56 km BaratDaya TIDORE-MALUT,-
MNI-bmkg2023itmb,2023-05-05,11:57:16,0.35,125.23,10.0,3.2,83 km Tenggara TUTUYAN-SULUT,-
