HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-Nov-22,2
02-Nov-22,6
03-Nov-22,2
04-Nov-22,4
05-Nov-22,4
06-Nov-22,4
07-Nov-22,3
08-Nov-22,3
09-Nov-22,4
10-Nov-22,0
11-Nov-22,4
12-Nov-22,6
13-Nov-22,2
14-Nov-22,6
15-Nov-22,5
16-Nov-22,1
17-Nov-22,5
18-Nov-22,0
19-Nov-22,2
20-Nov-22,2
21-Nov-22,2
22-Nov-22,5
23-Nov-22,5
24-Nov-22,0
25-Nov-22,5
26-Nov-22,3
27-Nov-22,3
28-Nov-22,4
29-Nov-22,1
30-Nov-22,4
TOTAL,97,
TOTAL DIRASAKAN,3,

BERDASARKAN MAGNITUDO
M < 3,15, 15.5%,
3 < M < 5,77, 79.4%,
M > 5,5, 5.2%,

BERDASARKAN KEDALAMAN
< 60 Km,74, 76.3%,
60 - 300 Km,23, 23.7%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,48
HALMAHERA BAG. UTARA,19
HALMAHERA BAG. TIMUR,1
HALMAHERA BAG. BARAT,9
HALMAHERA BAG. SELATAN,14
KEP. SULA & TALIABU,0
SULAWESI,6

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
BMKG-TNT20221101T125631,2022-11-01,12:56:31,1.72,126.98,108.0,4.9,91 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221101T212914,2022-11-01,21:29:14,1.06,126.97,76.0,2.6,55 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221102T142729,2022-11-02,14:27:29,-2.21,128.27,10.0,2.6,194 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221102T150645,2022-11-02,15:06:45,1.88,127.24,62.0,4.2,85 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221102T172643,2022-11-02,17:26:43,0.91,126.09,10.0,3.7,117 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221102T180552,2022-11-02,18:05:52,-2.61,129.28,6.0,3.3,295 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221102T185252,2022-11-02,18:52:52,1.09,126.97,12.0,3.0,55 km Barat JAILOLO-MALUT,-
BMKG-TNT20221102T214201,2022-11-02,21:42:01,-2.66,129.32,10.0,3.3,302 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221103T035401,2022-11-03,3:54:01,0.63,125.33,21.0,4.5,75 km Tenggara RATAHAN-SULUT,-
BMKG-TNT20221103T212949,2022-11-03,21:29:49,0.58,126.68,35.0,5.0,79 km BaratDaya TERNATE-MALUT,dirasakan di Ternate II-III MMI
BMKG-TNT20221104T025743,2022-11-04,2:57:43,2.68,128.48,228.0,4.5,73 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221104T025839,2022-11-04,2:58:39,2.08,127.17,49.0,4.8,99 km BaratLaut TOBELO-MALUT,dirasakan di Ibu II=III MMI
BMKG-TNT20221104T045117,2022-11-04,4:51:17,1.87,127.28,93.0,3.8,81 km BaratLaut TOBELO-MALUT,
BMKG-TNT20221104T165832,2022-11-04,16:58:32,2.91,128.36,199.0,4.5,96 km Utara DARUBA-MALUT,
BMKG-TNT20221105T081816,2022-11-05,8:18:16,-0.65,127.34,94.0,4.0,17 km Barat LABUHA-MALUT,-
BMKG-TNT20221105T153510,2022-11-05,15:35:10,3.48,126.96,10.0,5.4,66 km Tenggara MELONGUANE-SULUT,-
BMKG-TNT20221105T160629,2022-11-05,16:06:29,2.11,127.37,12.0,3.3,81 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221105T194130,2022-11-05,19:41:30,0.17,127.27,132.0,4.9,59 km BaratDaya TIDORE-MALUT,-
BMKG-TNT20221106T000315,2022-11-06,0:03:15,2.46,124.8,237.0,5.8,70 km BaratDaya ONDONGSIAU-SULUT,Dirasakan di Morotai Utara III MMI dan Ternate II MMI
BMKG-TNT20221106T043113,2022-11-06,4:31:13,2.41,127.01,8.0,3.2,133 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221106T052029,2022-11-06,5:20:29,-0.07,124.08,40.0,3.6,51 km Selatan MOLIBAGU-SULUT,-
BMKG-TNT20221106T184055,2022-11-06,18:40:55,1.85,128.95,10.0,4.8,76 km Tenggara DARUBA-MALUT,-
BMKG-TNT20221107T051902,2022-11-07,5:19:02,2.22,126.92,52.0,4.8,131 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221107T083446,2022-11-07,8:34:46,-0.52,127.48,30.0,3.3,14 km BaratLaut LABUHA-MALUT,-
BMKG-TNT20221107T150233,2022-11-07,15:02:33,0.03,126.98,92.0,4.1,88 km BaratDaya TIDORE-MALUT,-
BMKG-TNT20221108T193700,2022-11-08,19:37:00,0.0,124.53,33.0,3.7,69 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221108T205107,2022-11-08,20:51:07,-0.25,125.03,13.0,4.2,122 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221108T212238,2022-11-08,21:22:38,0.1,126.66,38.0,3.8,108 km BaratDaya TIDORE-MALUT,-
BMKG-TNT20221109T005917,2022-11-09,0:59:17,1.3,126.06,68.0,3.2,99 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221109T035154,2022-11-09,3:51:54,2.89,128.64,10.0,4.7,101 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221109T125226,2022-11-09,12:52:26,1.65,127.07,29.0,4.5,79 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221109T232154,2022-11-09,23:21:54,0.56,126.58,46.0,3.1,91 km BaratDaya TERNATE-MALUT,-
BMKG-TNT20221111T063353,2022-11-11,6:33:53,0.5,125.27,22.0,3.7,79 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221111T141949,2022-11-11,14:19:49,0.92,127.67,12.0,2.8,19 km TimurLaut SOFIFI-MALUT,-
BMKG-TNT20221111T154759,2022-11-11,15:47:59,-0.13,124.6,8.0,4.0,84 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221111T205238,2022-11-11,20:52:38,1.87,127.16,110.0,4.2,94 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221112T104801,2022-11-12,10:48:01,2.13,129.24,10.0,5.1,106 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221112T165057,2022-11-12,16:50:57,0.47,126.83,32.0,2.6,69 km BaratDaya TERNATE-MALUT,-
BMKG-TNT20221112T165954,2022-11-12,16:59:54,0.55,126.22,9.0,2.8,130 km BaratDaya TERNATE-MALUT,-
BMKG-TNT20221112T172937,2022-11-12,17:29:37,0.96,126.04,10.0,2.9,109 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221112T174028,2022-11-12,17:40:28,2.13,125.5,89.0,3.6,70 km Tenggara ONDONGSIAU-SULUT,-
BMKG-TNT20221112T210842,2022-11-12,21:08:42,2.13,129.28,10.0,4.2,110 km Timur DARUBA-MALUT,-
BMKG-TNT20221113T085533,2022-11-13,8:55:33,1.81,126.73,11.0,4.0,117 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221113T175327,2022-11-13,17:53:27,1.97,127.2,88.0,2.9,92 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221114T010604,2022-11-14,1:06:04,2.13,129.35,10.0,4.1,118 km Timur DARUBA-MALUT,-
BMKG-TNT20221114T045415,2022-11-14,4:54:15,2.32,126.82,10.0,3.2,146 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221114T115924,2022-11-14,11:59:24,2.37,126.84,10.0,3.6,147 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221114T143925,2022-11-14,14:39:25,1.73,126.53,13.0,2.9,128 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221114T222523,2022-11-14,22:25:23,1.06,126.72,10.0,3.3,79 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221114T222525,2022-11-14,22:25:25,1.0,126.84,26.0,3.3,64 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221115T053310,2022-11-15,5:33:10,2.99,128.29,27.0,4.6,105 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221115T075049,2022-11-15,7:50:49,2.26,127.18,87.0,4.4,108 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221115T104119,2022-11-15,10:41:19,0.01,124.65,13.0,3.3,79 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221115T105033,2022-11-15,10:50:33,1.28,126.14,10.0,3.3,108 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221115T110236,2022-11-15,11:02:36,-0.07,124.38,49.0,5.1,63 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221116T232839,2022-11-16,23:28:39,-0.04,124.81,9.0,3.0,92 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221117T080021,2022-11-17,8:00:21,1.7,126.29,9.0,4.3,126 km TimurLaut BITUNG-SULUT,-
BMKG-TNT20221117T163059,2022-11-17,16:30:59,1.6,126.48,10.0,2.9,125 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221117T201512,2022-11-17,20:15:12,1.87,127.27,10.0,3.0,82 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221117T220121,2022-11-17,22:01:21,2.88,128.78,240.0,4.3,107 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221117T231003,2022-11-17,23:10:03,-0.95,127.49,10.0,3.1,34 km Selatan LABUHA-MALUT,-
BMKG-TNT20221119T003823,2022-11-19,0:38:23,-0.1,129.42,10.0,3.7,153 km Tenggara MABA-MALUT,-
BMKG-TNT20221119T114257,2022-11-19,11:42:57,1.95,127.27,10.0,3.0,84 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221120T183243,2022-11-20,18:32:43,0.98,126.85,9.0,3.8,62 km BaratLaut TERNATE-MALUT,-
BMKG-TNT20221120T192146,2022-11-20,19:21:46,1.1088,126.18,10.0,3.3,117 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221121T000948,2022-11-21,0:09:48,-0.92,127.61,9.0,2.4,33 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221121T020310,2022-11-21,2:03:10,2.08,127.23,39.0,3.1,93 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221122T033906,2022-11-22,3:39:06,0.5,125.16,17.0,3.0,68 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221122T060935,2022-11-22,6:09:35,2.92,128.38,190.0,3.9,98 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221122T133542,2022-11-22,13:35:42,0.03,126.67,24.0,3.1,112 km BaratDaya TIDORE-MALUT,-
BMKG-TNT20221122T151016,2022-11-22,15:10:16,2.14,128.45,40.0,3.2,20 km TimurLaut DARUBA-MALUT,
BMKG-TNT20221122T225211,2022-11-22,22:52:11,2.0,127.08,115.0,3.6,106 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221123T021710,2022-11-23,2:17:10,2.27,129.02,10.0,4.2,85 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221123T095504,2022-11-23,9:55:04,2.06,128.69,11.0,4.2,44 km Timur DARUBA-MALUT,-
BMKG-TNT20221122T222258,2022-11-23,10:22:58,-2.59,128.48,33.0,2.8,242 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221123T183654,2022-11-23,18:36:54,2.16,129.34,15.0,4.1,117 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221123T200403,2022-11-23,20:04:03,2.83,128.47,198.0,4.2,89 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221125T023653,2022-11-25,2:36:53,1.48,127.11,104.0,3.5,61 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221125T122511,2022-11-25,12:25:11,3.1,125.97,106.0,3.5,77 km Tenggara TAHUNA-SULUT,-
BMKG-TNT20221125T151149,2022-11-25,15:11:49,1.83,127.3,21.0,3.2,78 km BaratLaut TOBELO-MALUT,-
BMKG-TNT20221125T151343,2022-11-25,15:13:43,1.63,126.61,11.0,3.9,114 km BaratLaut JAILOLO-MALUT,-
BMKG-TNT20221125T202845,2022-11-25,16:42:05,-2.53,127.14,10.0,2.8,143 km Tenggara SANANA-MALUT,-
BMKG-TNT20221126T022528,2022-11-26,2:25:28,2.11,126.66,10.0,3.9,147 km BaratLaut JAILOLO-MALUT,
BMKG-TNT20221126T111445,2022-11-26,11:14:45,-0.91,127.32,3.0,3.8,35 km BaratDaya LABUHA-MALUT,
BMKG-TNT20221126T170737,2022-11-26,17:07:37,1.78,126.16,26.0,2.9,115 km TimurLaut BITUNG-SULUT,-
BMKG-TNT20221127T054330,2022-11-27,5:43:30,0.15,124.3,43.0,2.9,38 km Tenggara MOLIBAGU-SULUT,-
BMKG-TNT20221127T124544,2022-11-27,12:45:44,2.55,125.64,143.0,3.5,38 km Tenggara ONDONGSIAU-SULUT,-
BMKG-TNT20221127T162349,2022-11-27,16:23:49,2.69,128.02,121.0,4.2,78 km BaratLaut DARUBA-MALUT,-
BMKG-TNT20221128T144552,2022-11-28,14:45:52,3.07,126.89,10.0,3.3,107 km Tenggara MELONGUANE-SULUT,-
BMKG-TNT20221128T152035,2022-11-28,15:20:35,0.95,126.13,10.0,3.5,119 km Tenggara BITUNG-SULUT,-
BMKG-TNT20221128T210416,2022-11-28,21:04:16,0.66,125.02,18.0,3.5,47 km Tenggara TUTUYAN-SULUT,-
BMKG-TNT20221128T211338,2022-11-28,21:13:38,-0.68,127.84,4.0,3.9,38 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221129T115635,2022-11-29,11:56:35,-2.39,128.61,10.0,2.6,230 km Tenggara LABUHA-MALUT,-
BMKG-TNT20221130T043911,2022-11-30,4:39:11,2.15,129.12,1.0,4.3,93 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221130T053614,2022-11-30,5:36:14,-0.48,127.74,2.0,3.7,33 km TimurLaut LABUHA-MALUT,-
BMKG-TNT20221130T060926,2022-11-30,6:09:26,2.4,128.53,13.0,3.7,47 km TimurLaut DARUBA-MALUT,-
BMKG-TNT20221130T194052,2022-11-30,19:40:52,3.19,128.1,10.0,4.4,129 km BaratLaut DARUBA-MALUT,-

