HISTOGRAM GEMPABMI
Tanggal,Jumlah
16-Jun-23,4
17-Jun-23,6
18-Jun-23,2
19-Jun-23,8
20-Jun-23,4
21-Jun-23,1
22-Jun-23,5
TOTAL,30,
TOTAL DIRASAKAN,1,

BERDASARKAN MAGNITUDO
M < 3,2, 6.7%,
3 < M < 5,28, 93.3%,
M > 5,0, 0.0%,

BERDASARKAN KEDALAMAN
< 60 Km,17, 56.7%,
60 - 300 Km,13, 43.3%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,16
HALMAHERA BAG. UTARA,5
HALMAHERA BAG. TIMUR,2
HALMAHERA BAG. BARAT,4
HALMAHERA BAG. SELATAN,2
KEP. SULA & TALIABU,0
SULAWESI,1

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
GTO-bmkg2023lrpo,2023-06-16,4:03:41,0.04,124.74,2.0,3.3,82 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023lsee,2023-06-16,11:26:26,1.92,127.31,97.0,3.4,79 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023lsmd,2023-06-16,15:28:17,1.5,124.82,211.0,3.6,4 km BaratLaut MANADO-SULUT,-
MNI-bmkg2023lswv,2023-06-16,20:52:21,3.29,127.88,10.0,4.4,146 km BaratLaut DARUBA-MALUT,-
TNT-bmkg2023ltsm,2023-06-17,7:48:27,1.0,126.87,50.0,2.9,61 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023lugm,2023-06-17,14:53:13,2.9,127.31,65.0,3.1,141 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023luhp,2023-06-17,15:26:43,2.48,127.0,12.0,3.2,138 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023lujp,2023-06-17,16:27:54,3.12,126.92,10.0,3.3,102 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023luoo,2023-06-17,18:58:30,1.59,127.29,134.0,3.1,62 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023luwx,2023-06-17,23:11:30,2.66,126.19,26.0,4.6,92 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023lvax,2023-06-18,1:12:56,2.21,125.72,74.0,3.8,71 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023lvhk,2023-06-18,4:29:35,1.89,128.25,101.0,4.5,18 km BaratDaya DARUBA-MALUT,-
MNI-bmkg2023lwxq,2023-06-19,1:49:56,-0.14,125.27,10.0,4.9,125 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023lxjy,2023-06-19,8:03:14,-0.24,125.19,0.0,4.4,129 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023lxjy,2023-06-19,8:03:16,-0.16,125.25,10.0,4.8,125 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023lxmg,2023-06-19,9:12:06,1.9,127.27,100.0,3.6,82 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023lxyy,2023-06-19,15:37:01,2.5,128.38,206.0,3.8,51 km TimurLaut DARUBA-MALUT,-
PGN-bmg2023lykd,2023-06-19,21:16:29,2.16,128.22,79.0,4.9,15 km BaratLaut DARUBA-MALUT,dirasakan di Morotai dan Tobelo III MMI
MNI-bmkg2023lymc,2023-06-19,22:16:31,2.3,128.22,74.0,3.6,29 km BaratLaut DARUBA-MALUT,-
TNT-bmkg2023lyog,2023-06-19,23:21:23,-0.22,124.63,5.0,3.8,93 km Tenggara MOLIBAGU-SULUT,-
TNT-bmkg2023lypq,2023-06-20,0:03:56,0.47,129.32,14.0,4.1,117 km Tenggara MABA-MALUT,-
AAI-bmkg2023lzbv,2023-06-20,6:13:18,-1.11,126.89,10.0,4.0,85 km BaratDaya LABUHA-MALUT,-
TNT-bmkg2023lztq,2023-06-20,15:13:11,1.35,128.65,10.0,3.0,84 km Tenggara TOBELO-MALUT,-
AAI-bmkg2023lzvb,2023-06-20,15:55:39,-0.9,127.52,8.0,2.9,28 km Tenggara LABUHA-MALUT,-
MNI-bmkg2023mblg,2023-06-21,13:15:20,1.92,127.6,154.0,3.3,49 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023mcja,2023-06-22,1:15:43,1.06,125.67,22.0,3.3,69 km Tenggara BITUNG-SULUT,-
AAI-bmkg2023mcvk,2023-06-22,7:31:11,-0.92,124.61,10.0,4.5,117 km TimurLaut BOBONG-MALUT,-
MNI-bmkg2023mcwm,2023-06-22,8:03:40,2.04,126.03,83.0,4.5,108 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023mdwi,2023-06-22,21:06:32,1.37,126.56,29.0,3.3,107 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023meby,2023-06-22,23:57:30,1.57,126.35,69.0,3.2,130 km TimurLaut BITUNG-SULUT,-

