HISTOGRAM GEMPABMI
Tanggal,Jumlah
30-Dec-22,4
31-Dec-22,1
01-Jan-23,2
02-Jan-23,0
03-Jan-23,2
04-Jan-23,4
05-Jan-23,3
TOTAL,16,
TOTAL DIRASAKAN,0,

BERDASARKAN MAGNITUDO
M < 3,0, 0.0%,
3 < M < 5,16, 100.0%,
M > 5,0, 0.0%,

BERDASARKAN KEDALAMAN
< 60 Km,13, 81.2%,
60 - 300 Km,3, 18.8%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,7
HALMAHERA BAG. UTARA,3
HALMAHERA BAG. TIMUR,1
HALMAHERA BAG. BARAT,1
HALMAHERA BAG. SELATAN,1
KEP. SULA & TALIABU,0
SULAWESI,1

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
BMKG-TNT20221230T091130,2022-12-30,9:11:30,-0.22,125.23,10.0,3.3,130 km Tenggara TUTUYAN-SULUT,
BMKG-TNT20221230T124716,2022-12-30,12:47:16,0.19,124.81,58.0,3.5,68 km Tenggara TUTUYAN-SULUT,
BMKG-TNT20221230T132929,2022-12-30,13:29:29,0.15,124.6,37.0,3.8,67 km Tenggara MOLIBAGU-SULUT,
BMKG-TNT20221230T144201,2022-12-30,14:42:01,1.57,126.29,8.0,3.7,124 km TimurLaut BITUNG-SULUT,
BMKG-TNT20221231T195514,2022-12-31,19:55:14,2.58,127.18,10.0,4.1,131 km BaratLaut TOBELO-MALUT,
BMKG-TNT20230101T053705,2023-01-01,5:37:05,2.51,128.53,234.0,4.2,58 km TimurLaut DARUBA-MALUT,
BMKG-TNT20230101T101743,2023-01-01,10:17:43,2.18,128.25,10.0,3.7,16 km BaratLaut DARUBA-MALUT,
BMKG-TNT20230103T054701,2023-01-03,5:47:01,-0.12,129.4,10.0,3.8,152 km Tenggara MABA-MALUT,
BMKG-TNT20230103T115730,2023-01-03,11:57:30,1.09,126.86,46.0,3.1,67 km BaratLaut TERNATE-MALUT,
BMKG-TNT20230104T113134,2023-01-04,11:31:34,2.42,128.79,26.0,3.9,69 km TimurLaut DARUBA-MALUT,
BMKG-TNT20230104T163620,2023-01-04,16:36:20,3.62,126.9,10.0,4.3,49 km Tenggara MELONGUANE-SULUT,
BMKG-TNT20230104T170338,2023-01-04,17:03:38,3.57,126.97,10.0,4.5,58 km Tenggara MELONGUANE-SULUT,
BMKG-TNT20230104T212940,2023-01-04,21:29:40,1.33,124.57,253.0,3.5,13 km BaratLaut AMURANG-SULUT,
BMKG-TNT20230105T013536,2023-01-05,1:35:36,1.6,127.19,73.0,4.1,67 km BaratLaut JAILOLO-MALUT,
BMKG-TNT20230105T173755,2023-01-05,17:37:55,0.54,125.59,10.0,3.1,104 km Tenggara RATAHAN-SULUT,-
BMKG-TNT20230105T191120,2023-01-05,19:11:20,-0.91,127.57,10.0,3.4,31 km Tenggara LABUHA-MALUT,-

